DRUH	NOVÁ AKREDITACE	NÁZEV SP/SO	TYP SP	NÁZEV SP	VYSOKÁ ŠKOLA	FAKULTA	FS	ISCED-F	SDS	JAZYK	PROFIL	OV1	PODIL OV1	OV2	PODIL OV2	OV3	PODIL OV3	OV4	PODIL OV4	OV5	PODIL OV5	KRAJ	PLATNOST AKREDITACE DO
SO	NE	Aircraft Design	navazující magisterský	Mechanical engineering	Vysoké učení technické v Brně	Fakulta strojního inženýrství	3	0716	2	angličtina												Jihomoravský	31.12.2024
SO	NE	Aircraft Technology	bakalářský	Technologie pro obranu a bezpečnost	Univerzita obrany	Fakulta vojenských technologií	1		3	angličtina												Jihomoravský	31.12.2024
SO	NE	Aktivity v přírodě	bakalářský	Tělesná výchova a sport	Univerzita Jana Evangelisty Purkyně v Ústí nad Labem	Pedagogická fakulta	1	1014	3	čeština												Ústecký	31.12.2024
SO	NE	Akustika	doktorský	Elektrotechnika a informatika	České vysoké učení technické v Praze	Fakulta elektrotechnická	3, 1	0533	4	čeština												Praha	31.12.2024
SP	ANO	Akustika	doktorský	Akustika	České vysoké učení technické v Praze	Fakulta elektrotechnická	3, 1	0788	4	čeština		Fyzika	25	Strojírenství, technologie a materiály	25	Stavebnictví 	25	Elektrotechnika 	25		0	Praha	27.2.2029
SP	ANO	Akustika	doktorský	Akustika	České vysoké učení technické v Praze	Fakulta stavební	3, 1	0788	4	čeština		Fyzika	25	Strojírenství, technologie a materiály	25	Stavebnictví 	25	Elektrotechnika 	25		0	Praha	27.2.2029
SP	ANO	Akustika	doktorský	Akustika	České vysoké učení technické v Praze	Fakulta strojní	3, 1	0788	4	čeština		Fyzika	25	Strojírenství, technologie a materiály	25	Stavebnictví 	25	Elektrotechnika 	25		0	Praha	27.2.2029
SP	ANO	Akvakultura a péče o vodní ekosystémy	bakalářský	Akvakultura a péče o vodní ekosystémy	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	3, 1	0831	3	čeština	akademicky zaměřený	Zemědělství	80	Biologie, ekologie a životní prostředí	20		0					Praha	28.1.2029
SP	ANO	Akvakultura a péče o vodní ekosystémy	navazující magisterský	Akvakultura a péče o vodní ekosystémy	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	3, 1	0831	2	čeština	akademicky zaměřený	Zemědělství	80	Biologie, ekologie a životní prostředí	20		0					Praha	28.1.2024
SO	NE	Algebra a diskrétní matematika	navazující magisterský	Matematika	Masarykova univerzita	Přírodovědecká fakulta	1	0541	2	čeština												Jihomoravský	31.12.2024
SO	NE	Algebra a geometrie	doktorský	Matematika (čtyřletá)	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3, 1	0541	4	čeština												Olomoucký	31.12.2024
SP	ANO	Algebra a geometrie	doktorský	Algebra a geometrie	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3, 1	0541	4	čeština		Matematika	100		0		0		0		0	Olomoucký	8.8.2028
SO	NE	Algebra and Geometry	doktorský	Mathematics	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3, 1	0541	4	angličtina												Olomoucký	31.12.2024
